id,lastUpdated,name,value,isActive,appliedDate,resolvedDate,turbotownID
1,2024-01-20 16:05:45.474,observer,"[33,107,16]",false,2024-01-20 16:05:45.473,2024-01-23 03:10:24.873,3
2,2024-01-20 17:12:37.674,observer,"[44,67,110]",false,2024-01-20 17:12:37.673,2024-01-23 03:16:12.162,1
3,2024-01-23 03:17:18.417,observer,"[94,16,5]",false,2024-01-23 03:17:18.415,2024-01-23 03:21:48.049,1
4,2024-01-23 03:23:15.038,observer,"[111,123,31]",false,2024-01-23 03:23:15.037,2024-01-23 03:23:17.026,1
5,2024-01-25 02:11:21.537,observer,"[41,68,61]",false,2024-01-25 02:11:21.536,2024-01-25 02:15:29.394,3
6,2024-01-25 02:11:22.544,observer,"[123,106,70]",false,2024-01-25 02:11:22.543,2024-01-25 02:18:05.174,7
7,2024-01-25 02:11:36.649,observer,"[123,69,4]",false,2024-01-25 02:11:36.648,2024-01-27 04:56:49.211,1
8,2024-01-27 05:25:46.443,observer,"[31,2,99]",false,2024-01-27 05:25:46.442,2024-01-27 05:26:02.006,1
9,2024-01-27 05:38:31.553,observer,"[34,86,67]",false,2024-01-27 05:38:31.552,2024-01-27 15:05:10.801,1
10,2024-01-27 15:11:11.781,observer,"[110,68,40]",false,2024-01-27 15:11:11.78,2024-01-27 15:11:18.166,1
11,2024-01-28 04:27:47.345,observer,"[38,42,99]",false,2024-01-28 04:27:47.344,2024-01-28 04:27:52.889,1
12,2024-01-28 05:05:47.158,observer,"[137,28,66]",false,2024-01-28 05:05:47.156,2024-01-28 05:05:48.997,1
13,2024-01-28 17:11:12.387,observer,"[13,129,14]",false,2024-01-28 17:11:12.386,2024-01-28 17:11:38.154,1
14,2024-01-29 00:10:31.339,observer,"[77,91,11]",false,2024-01-29 00:10:31.338,2024-01-29 00:10:35.223,3
15,2024-01-29 01:32:56.106,observer,"[107,76,50]",false,2024-01-29 01:32:56.105,2024-01-29 01:32:59.215,7
16,2024-01-30 02:32:41.354,observer,"[60,1,39]",false,2024-01-30 02:32:41.353,2024-01-30 02:32:49.336,3
17,2024-01-30 03:13:10.531,observer,"[49,35,64]",false,2024-01-30 03:13:10.53,2024-01-30 03:13:16.341,4
18,2024-02-01 01:42:31.469,observer,"[129,48,108]",false,2024-02-01 01:42:31.468,2024-02-01 03:03:14.325,7
19,2024-02-01 01:43:08.712,observer,"[88,63,110]",false,2024-02-01 01:43:08.711,2024-02-03 03:13:40.878,7
20,2024-02-03 03:13:36.558,observer,"[32,93,72]",false,2024-02-03 03:13:36.557,2024-02-05 01:49:53.663,3
21,2024-02-05 01:49:50.556,observer,"[94,46,110]",false,2024-02-05 01:49:50.555,2024-02-05 02:21:44.125,1
22,2024-02-05 02:21:33.786,observer,"[97,56,119]",false,2024-02-05 02:21:33.785,2024-02-05 02:52:31.913,3
23,2024-02-05 03:27:19.647,observer,"[17,25,138]",false,2024-02-05 03:27:19.646,2024-02-05 03:27:30.411,7
24,2024-02-05 04:03:19.923,observer,"[110,46,19]",false,2024-02-05 04:03:19.922,2024-02-05 04:03:21.622,3